variant,F1_link,R_wm,Frag_drop,R_rec
ConservativeFusion,0.8674044690177536,0.05256203208905313,341.625,0.800619241670642
Full,0.8723748357067096,0.04763444082048102,343.0,0.8040526243323494
OverwriteTail,0.8704297322247168,0.050863359367870974,343.875,0.8063483854401651
w/o MagNorm,0.8598597951012807,0.04642577613555932,335.125,0.7857535217340438
w/o Replay,0.860665923002925,0.045261709113740424,333.375,0.7817363858055757
w/o Split,0.8723748357067096,0.04763444082048102,343.0,0.8040526243323494
w/o d_mag,0.7960320048008086,0.13789681425728792,317.0,0.743644861306734
w/o s_lane,0.8705145580253011,0.05041385661322122,342.0,0.8017543063589289
