variant,RMSE_p,IDSW,Frag,survival
full,12.353960896458048,23.25,24.25,0.9320728291316527
no_node_adapt,33.93829894593985,45.75,47.0,0.06197478991596638
no_mag,13.964998327811548,28.5,29.0,0.8893557422969187
hard_count,34.20877824134164,40.0,41.0,0.044117647058823525
