L,late_absorb_ratio,consistency,avg_buffer_events,max_buffer_events,runtime_ms
0,0.2970240626182695,0.46200079720518633,1.5516773826871884,5.333333333333333,194.9421666666673
1,0.39372457091838103,0.5121155777645056,2.9349836832919185,11.0,210.17979999999997
2,0.5249706041601426,0.5877971020623592,5.116379645095251,17.0,214.77576666666684
3,0.6272204831300073,0.6482288682640264,7.654892145843924,21.0,204.15629999999987
4,0.7194175658759977,0.7064293973929104,11.048678403914913,28.0,135.00283333333365
5,0.7823753832921868,0.7455561302752961,14.66821513992663,35.333333333333336,136.95289999999832
