variant,RMSE_p,IDSW,Frag,bridge_survival,late_absorb_ratio,scene_acc,lane_acc
full,15.579191134075524,322.6666666666667,410.0,0.8204795204795206,0.7436844553348508,0.9143518518518519,0.9143518518518519
no_node_adapt,13.349858872850627,322.0,409.0,0.8731268731268731,0.7436844553348508,0.9143518518518519,0.9143518518518519
no_scene_hmm,15.579191134075524,322.6666666666667,410.0,0.8204795204795206,0.7436844553348508,0.6666666666666666,0.6666666666666666
no_replay,19.181687147900455,805.3333333333334,863.0,0.7175158175158175,0.33293421298763454,0.9143518518518519,0.9143518518518519
no_mag,15.975002729993912,323.6666666666667,411.3333333333333,0.8109557109557111,0.7436844553348508,0.9143518518518519,0.9143518518518519
hard_count,13.34985877738112,322.0,409.0,0.8731268731268731,0.7436844553348508,0.9143518518518519,0.9143518518518519
