track_id,sensor_lane,n_points,start_time,end_time,start_devSort,end_devSort,duration_s,avg_speed_mps,mean_geomPeak,scene_hint,confidence
1091,2,10,1702631875480,1702631886740,1,16,11.26,15.227,280.0,unknown,0.6707
1094,2,14,1702631876950,1702631885320,1,18,8.37,14.915,128.571,unknown,0.8382
1100,2,14,1702631879490,1702631887320,10,25,7.83,14.916,316.071,unknown,0.848
1101,2,6,1702631879620,1702631882190,62,67,2.57,16.176,100.0,unknown,0.8192
1107,2,27,1702631883190,1702631896760,21,49,13.57,15.001,312.963,unknown,0.7889
1110,2,7,1702631884790,1702631890890,1,10,6.1,19.124,207.143,unknown,0.8075
1111,2,5,1702631885600,1702631888190,21,27,2.59,21.091,100.0,unknown,0.7105
486,1,5,1702631885930,1702631890120,2,8,4.19,17.567,1466.8,unknown,0.8304
487,1,10,1702631887890,1702631895890,1,14,8.0,17.796,2167.0,unknown,0.896
1117,2,8,1702631888550,1702631894260,2,12,5.71,21.279,4500.0,unknown,0.8255
490,1,6,1702631891160,1702631893330,34,39,2.17,16.176,108.333,unknown,0.7918
491,1,4,1702631894600,1702631896000,42,45,1.4,17.401,212.5,unknown,0.7638
