track_id,sensor_lane,n_points,start_time,end_time,start_devSort,end_devSort,duration_s,avg_speed_mps,mean_geomPeak,scene_hint,confidence
493,2,34,1702631389050,1702631405870,18,53,16.82,16.975,172.059,unknown,0.7914
494,2,22,1702631389400,1702631404160,49,72,14.76,15.159,127.273,unknown,0.9232
495,2,19,1702631389990,1702631404120,34,57,14.13,14.134,142.105,unknown,0.7496
501,2,6,1702631400050,1702631402930,55,61,2.88,17.873,100.0,unknown,0.773
506,2,9,1702631402330,1702631408220,61,72,5.89,16.661,100.0,unknown,0.8579
510,2,19,1702631405420,1702631414270,53,72,8.85,15.022,150.0,unknown,0.8103
45,1,28,1702631413980,1702631431880,1,39,17.9,16.107,198.214,unknown,0.8697
528,2,67,1702631426550,1702631466600,1,71,40.05,15.108,578.358,unknown,0.893
60,1,5,1702631433260,1702631435600,42,47,2.34,21.181,110.0,unknown,0.7319
65,1,7,1702631438720,1702631445780,54,70,7.06,29.21,228.571,unknown,0.7897
530,2,44,1702631442450,1702631474090,2,50,31.64,14.942,198.295,unknown,0.8797
535,2,55,1702631446890,1702631477090,10,69,30.2,14.031,160.0,unknown,0.7082
76,1,28,1702631451130,1702631472690,1,47,21.56,26.658,100.0,unknown,0.8415
537,2,11,1702631452870,1702631460170,1,13,7.3,18.796,100.0,unknown,0.8657
78,1,22,1702631452910,1702631474900,1,37,21.99,16.486,687.5,unknown,0.9381
538,2,39,1702631455420,1702631475720,2,45,20.3,15.001,375.0,unknown,0.8216
539,2,46,1702631457370,1702631497630,5,72,40.26,18.102,1069.891,unknown,0.882
541,2,27,1702631458610,1702631473530,1,31,14.92,15.546,324.074,unknown,0.851
542,2,16,1702631462220,1702631473140,30,48,10.92,16.379,218.75,unknown,0.8062
543,2,28,1702631462260,1702631479170,2,36,16.91,15.339,237.5,unknown,0.8744
544,2,30,1702631464390,1702631484890,20,57,20.5,36.268,178.333,unknown,0.6966
546,2,11,1702631469300,1702631476190,3,17,6.89,16.924,250.0,unknown,0.9078
88,1,14,1702631471500,1702631486460,6,31,14.96,23.004,2167.0,unknown,0.8695
550,2,52,1702631472030,1702631504190,1,71,32.16,15.026,331.731,unknown,0.8251
551,2,14,1702631472170,1702631484350,48,72,12.18,21.636,298.214,unknown,0.8981
552,2,4,1702631472790,1702631475080,67,72,2.29,21.099,137.5,unknown,0.7126
553,2,4,1702631473960,1702631477160,1,7,3.2,19.317,200.0,unknown,0.7593
557,2,5,1702631475760,1702631480530,14,22,4.77,21.246,150.0,unknown,0.771
92,1,9,1702631476510,1702631485070,18,35,8.56,21.987,261.111,unknown,0.8756
562,2,4,1702631477950,1702631479940,56,59,1.99,17.401,150.0,unknown,0.7896
93,1,4,1702631478160,1702631481360,42,47,3.2,20.929,593.75,unknown,0.7775
564,2,21,1702631479320,1702631496750,1,38,17.43,29.922,147.619,unknown,0.7896
565,2,39,1702631479780,1702631507650,12,66,27.87,15.783,257.692,unknown,0.9016
567,2,9,1702631480880,1702631486830,56,69,5.95,25.001,463.889,unknown,0.813
573,2,5,1702631483100,1702631488000,43,52,4.9,24.465,260.0,unknown,0.7592
574,2,10,1702631483330,1702631492630,50,65,9.3,17.747,100.0,unknown,0.9086
576,2,11,1702631485110,1702631493310,55,72,8.2,20.463,200.0,unknown,0.8559
577,2,32,1702631487010,1702631511050,2,48,24.04,16.144,204.688,unknown,0.8626
578,2,13,1702631487170,1702631498670,33,52,11.5,20.772,150.0,unknown,0.9129
579,2,9,1702631487470,1702631495560,10,29,8.09,28.63,100.0,unknown,0.7542
580,2,12,1702631488460,1702631498180,52,67,9.72,15.584,262.5,unknown,0.9184
105,1,6,1702631489450,1702631496140,36,47,6.69,22.824,2167.0,unknown,0.8219
109,1,9,1702631491030,1702631500100,2,17,9.07,19.039,447.222,unknown,0.8736
588,2,13,1702631494610,1702631506780,31,50,12.17,15.963,130.769,unknown,0.8619
589,2,4,1702631495100,1702631499670,30,36,4.57,17.619,112.5,unknown,0.7092
591,2,4,1702631495810,1702631497730,28,32,1.92,20.551,112.5,unknown,0.7556
593,2,29,1702631497420,1702631514600,38,72,17.18,15.062,146.552,unknown,0.8481
607,2,11,1702631501560,1702631510370,57,71,8.81,16.034,222.727,unknown,0.887
123,1,18,1702631502690,1702631517580,22,47,14.89,19.283,372.222,unknown,0.8418
623,2,21,1702631506370,1702631517600,50,72,11.23,15.021,135.714,unknown,0.8257
629,2,24,1702631508760,1702631522670,45,72,13.91,15.013,185.417,unknown,0.8174
134,1,32,1702631516890,1702631550160,2,48,33.27,16.085,1875.25,unknown,0.8678
646,2,10,1702631517010,1702631523620,1,14,6.61,19.584,532.5,unknown,0.855
139,1,7,1702631521420,1702631530160,54,70,8.74,25.913,585.714,unknown,0.8383
657,2,58,1702631524050,1702631571300,12,72,47.25,15.134,156.034,unknown,0.9883
658,2,51,1702631524050,1702631551480,13,64,27.43,15.134,233.333,unknown,0.8841
665,2,7,1702631532450,1702631538020,1,10,5.57,19.008,200.0,unknown,0.8433
666,2,67,1702631534080,1702631576310,1,72,42.23,15.012,1464.075,unknown,0.8972
667,2,66,1702631536540,1702631583310,1,72,46.77,15.062,885.758,unknown,0.9414
668,2,16,1702631538440,1702631550430,1,22,11.99,18.378,165.625,unknown,0.8987
177,1,7,1702631555640,1702631569420,54,70,13.78,17.576,2167.0,unknown,0.864
672,2,26,1702631561710,1702631578700,43,72,16.99,18.07,592.308,unknown,0.7721
674,2,29,1702631562460,1702631588200,1,32,25.74,15.054,299.724,unknown,0.8659
681,2,6,1702631567080,1702631571840,55,62,4.76,17.121,200.0,unknown,0.8507
687,2,12,1702631572380,1702631579520,1,15,7.14,17.83,312.5,unknown,0.8862
692,2,8,1702631576120,1702631580760,64,72,4.64,16.392,231.25,unknown,0.8749
694,2,5,1702631576330,1702631578700,68,72,2.37,16.681,775.0,unknown,0.8164
695,2,4,1702631576680,1702631578400,65,68,1.72,17.401,212.5,unknown,0.7812
703,2,29,1702631579000,1702631597850,14,43,18.85,14.957,397.414,unknown,0.8101
704,2,62,1702631579090,1702631628460,1,72,49.37,15.13,192.742,unknown,0.9934
707,2,47,1702631585050,1702631609350,1,51,24.3,15.425,253.191,unknown,0.8385
709,2,37,1702631587290,1702631607380,32,72,20.09,15.274,177.027,unknown,0.83
710,2,4,1702631587710,1702631589200,31,34,1.49,17.401,212.5,unknown,0.7692
716,2,4,1702631593920,1702631597050,22,26,3.13,17.219,250.0,unknown,0.7147
717,2,31,1702631596960,1702631611120,41,72,14.16,15.011,187.097,unknown,0.8071
227,1,11,1702631600090,1702631607130,1,17,7.04,19.936,411.364,unknown,0.7738
727,2,18,1702631602560,1702631612660,1,22,10.1,17.569,100.0,unknown,0.853
230,1,29,1702631603040,1702631623640,2,45,20.6,17.626,738.517,unknown,0.875
234,1,17,1702631606550,1702631617310,17,39,10.76,16.113,441.176,unknown,0.8609
236,1,32,1702631608950,1702631632120,1,47,23.17,20.559,153.125,unknown,0.8146
742,2,17,1702631611320,1702631619130,55,71,7.81,15.023,323.529,unknown,0.8217
239,1,4,1702631611610,1702631620000,54,63,8.39,17.738,656.25,unknown,0.6937
743,2,7,1702631612660,1702631616020,22,29,3.36,20.324,100.0,unknown,0.7518
243,1,32,1702631614820,1702631637080,1,47,22.26,20.476,184.375,unknown,0.8111
744,2,65,1702631616030,1702631647870,1,72,31.84,15.077,130.769,unknown,0.7968
248,1,5,1702631618680,1702631621080,42,47,2.4,21.181,330.0,unknown,0.7338
745,2,15,1702631618870,1702631626020,35,50,7.15,16.086,100.0,unknown,0.8348
746,2,24,1702631620210,1702631632540,45,72,12.33,16.489,484.375,unknown,0.8569
748,2,69,1702631626780,1702631668390,1,72,41.61,15.007,168.116,unknown,0.8778
260,1,6,1702631627880,1702631635480,54,70,7.6,28.396,570.833,unknown,0.7488
750,2,13,1702631629310,1702631636020,57,71,6.71,15.595,150.0,unknown,0.8609
270,1,7,1702631635610,1702631643360,54,70,7.75,28.363,164.286,unknown,0.8101
275,1,7,1702631640750,1702631649310,54,70,8.56,26.396,285.714,unknown,0.8325
752,2,49,1702631663030,1702631691470,1,53,28.44,15.0,796.102,unknown,0.795
297,1,8,1702631667620,1702631672640,1,12,5.02,24.212,100.0,unknown,0.7793
754,2,16,1702631669900,1702631679050,1,20,9.15,16.762,290.625,unknown,0.8724
760,2,14,1702631676840,1702631684680,19,32,7.84,15.036,408.929,unknown,0.8114
305,1,19,1702631677190,1702631688640,22,47,11.45,21.774,100.0,unknown,0.8263
772,2,43,1702631684100,1702631717710,28,72,33.61,15.356,420.93,unknown,0.9557
307,1,9,1702631685620,1702631691480,34,47,5.86,23.051,250.0,unknown,0.7688
778,2,20,1702631688460,1702631700130,49,72,11.67,15.019,415.0,unknown,0.8005
780,2,26,1702631691460,1702631703390,1,31,11.93,15.33,126.923,unknown,0.804
784,2,30,1702631697500,1702631716190,1,37,18.69,15.002,406.667,unknown,0.8014
313,1,4,1702631698570,1702631701660,63,70,3.09,27.82,350.0,unknown,0.734
792,2,22,1702631699890,1702631710670,1,25,10.78,15.082,660.227,unknown,0.8196
795,2,32,1702631700940,1702631717690,29,65,16.75,15.945,110.938,unknown,0.8355
802,2,48,1702631704290,1702631727400,1,50,23.11,15.0,250.0,unknown,0.8049
804,2,41,1702631704690,1702631730010,20,67,25.32,15.062,555.488,unknown,0.8146
812,2,19,1702631713370,1702631723300,36,55,9.93,15.403,239.474,unknown,0.8477
814,2,4,1702631716050,1702631720900,66,72,4.85,17.49,112.5,unknown,0.7018
819,2,6,1702631716690,1702631719980,65,70,3.29,15.83,133.333,unknown,0.7808
821,2,22,1702631717750,1702631741750,1,31,24.0,14.25,147.727,unknown,0.8581
832,2,15,1702631722420,1702631732400,55,72,9.98,15.177,270.0,unknown,0.8381
837,2,18,1702631725710,1702631737810,50,72,12.1,15.809,227.778,unknown,0.8633
838,2,4,1702631726220,1702631728810,49,53,2.59,18.041,237.5,unknown,0.7754
840,2,33,1702631727070,1702631750970,10,47,23.9,15.08,168.182,unknown,0.8658
844,2,5,1702631728690,1702631730800,68,72,2.11,16.681,240.0,unknown,0.7996
846,2,67,1702631730910,1702631777510,1,72,46.6,15.505,108.209,unknown,0.9312
349,1,7,1702631740320,1702631744220,39,48,3.9,20.004,185.714,unknown,0.795
872,2,35,1702631742540,1702631772960,30,72,30.42,14.99,141.429,unknown,0.981
876,2,17,1702631743360,1702631753140,1,20,9.78,15.488,202.941,unknown,0.8854
909,2,11,1702631751090,1702631758760,18,31,7.67,15.718,200.0,unknown,0.861
933,2,8,1702631756160,1702631759200,1,8,3.04,15.576,287.5,unknown,0.8017
938,2,41,1702631757660,1702631779760,30,72,22.1,15.01,203.659,unknown,0.8375
940,2,12,1702631758150,1702631764820,8,21,6.67,15.325,300.0,unknown,0.8114
957,2,14,1702631762840,1702631771430,19,36,8.59,15.966,310.714,unknown,0.841
965,2,19,1702631765390,1702631775040,2,24,9.65,15.162,155.263,unknown,0.8384
384,1,26,1702631766850,1702631781500,1,39,14.65,16.67,630.769,unknown,0.856
976,2,35,1702631769180,1702631787940,33,72,18.76,15.771,310.0,unknown,0.8407
987,2,44,1702631774480,1702631795700,25,72,21.22,15.011,263.636,unknown,0.7841
996,2,19,1702631784570,1702631792450,35,53,7.88,15.011,131.579,unknown,0.779
999,2,64,1702631790360,1702631830200,1,72,39.84,15.018,221.094,unknown,0.822
1000,2,17,1702631793290,1702631800530,55,72,7.24,15.086,100.0,unknown,0.7961
1001,2,29,1702631796460,1702631810420,1,31,13.96,15.009,306.897,unknown,0.8157
1003,2,67,1702631802950,1702631834420,1,72,31.47,15.013,391.791,unknown,0.7974
1004,2,62,1702631810130,1702631844570,1,72,34.44,19.917,128.226,unknown,0.7908
1005,2,30,1702631813950,1702631837930,37,72,23.98,15.288,100.0,unknown,0.9465
1006,2,49,1702631818650,1702631846400,1,57,27.75,16.363,153.061,unknown,0.7451
434,1,34,1702631825300,1702631856320,1,48,31.02,17.105,313.235,unknown,0.9026
449,1,34,1702631840790,1702631871380,1,48,30.59,17.129,4500.0,unknown,0.8936
1019,2,68,1702631840890,1702631887880,1,72,46.99,15.006,2167.0,unknown,0.9352
1023,2,5,1702631842780,1702631844440,1,5,1.66,16.681,1158.4,unknown,0.7715
1025,2,4,1702631844280,1702631845600,55,58,1.32,17.401,112.5,unknown,0.7532
1027,2,9,1702631844960,1702631851370,58,68,6.41,14.764,122.222,unknown,0.8468
1029,2,8,1702631846770,1702631850100,31,38,3.33,15.576,131.25,unknown,0.8201
460,1,18,1702631847620,1702631858500,13,39,10.88,16.14,129.167,unknown,0.8443
1030,2,27,1702631848550,1702631859270,15,41,10.72,15.001,708.333,unknown,0.7664
1032,2,15,1702631849060,1702631859760,37,55,10.7,15.936,140.0,unknown,0.8077
1040,2,22,1702631851990,1702631864890,7,33,12.9,16.755,104.545,unknown,0.823
1052,2,5,1702631857350,1702631859740,53,58,2.39,18.224,140.0,unknown,0.7762
470,1,6,1702631859760,1702631862330,42,48,2.57,19.326,100.0,unknown,0.76
1056,2,11,1702631860110,1702631864370,43,53,4.26,15.198,761.364,unknown,0.7896
1059,2,19,1702631862330,1702631872580,51,72,10.25,15.016,726.316,unknown,0.7928
1066,2,16,1702631864470,1702631872550,33,48,8.08,15.033,134.375,unknown,0.8354
476,1,6,1702631864850,1702631870860,54,68,6.01,29.246,100.0,unknown,0.7405
