tid1,tid2,label,p_I1,p_I2,p_P,pair_count,mean_dt_ms,std_dt_ms,speed_diff
1,77,I2,0.18807797515180183,0.7978453737973535,0.014076651050844708,3,40.0,42.42640687119285,7.276100968396733
1,95,I2,0.04888939185931061,0.6985856658618647,0.25252494227882466,26,54.23076923076923,63.31685137970028,1.2006391802755036
2,152,I1,0.4740425128504277,0.35695592436482537,0.16900156278474682,2,40.0,0.0,3.222045422553638
2,157,I2,0.45273092398461917,0.538252203367342,0.009016872648038883,5,368.0,282.09218351453836,1.7505140742279721
2,177,I2,0.07814124110315208,0.5681823749498148,0.353676383947033,5,36.0,12.0,1.0435718827898697
2,178,I2,0.1164473865915336,0.7972340363526964,0.08631857705576985,4,522.5,38.97114317029974,0.30100616984170614
3,95,I2,0.055768343463259054,0.87988863032886,0.06434302620788095,6,51.666666666666664,49.4694069321861,4.510879642898052
4,157,I2,0.3812055189150549,0.5745708359296323,0.044223645155312866,2,360.0,280.0,0.9316409804412018
4,163,I2,0.0505902976274919,0.6559447234950752,0.2934649788774329,30,67.33333333333333,50.19517462421618,0.8464301371148277
5,179,I2,0.05086740693529478,0.702224068417777,0.24690852464692833,29,103.44827586206897,51.41285644050694,1.8288031978085328
7,163,I2,0.21605623078539143,0.5986155446830146,0.18532822453159406,2,135.0,75.0,4.1558582510243465
8,163,I2,0.25116126637931757,0.6472108617485086,0.1016278718721738,2,60.0,10.0,5.446001759190443
9,179,I2,0.05683757174318453,0.9421089022919432,0.0010535259648721729,6,90.0,53.22906474223771,9.60574927874606
10,235,I2,0.10332634618287737,0.5736041056073932,0.32306954820972944,3,23.333333333333332,26.246692913372705,1.7889996456798372
10,241,I2,0.049333523748045026,0.8499222788189756,0.10074419743297935,28,36.785714285714285,38.45717204414091,2.9115488208245672
11,249,I2,0.028352171512785903,0.9694411019252911,0.0022067265619230866,18,451.6666666666667,247.95272846967333,0.8245303084056577
11,258,I2,0.07784607456939109,0.7597366174841826,0.1624173079464263,10,46.0,76.31513611335565,2.298136853183708
12,250,I2,0.07912093729289665,0.5922990161611592,0.3285800465459441,29,66.55172413793103,37.257340130222296,0.25295735147854614
13,241,I2,0.05295134461978661,0.946625660799656,0.0004229945805572602,4,195.0,225.11108368980857,9.826967901665917
