scenario,method,RMSE_p_mean,RMSE_p_std,RMSE_v_mean,RMSE_v_std,match_rate_mean,n_samples_mean
场景A,JPDA,1.6215861551999813,0.04235404483168249,1.1953043820409934,0.14540792180367226,0.9490030315964342,4749.666666666667
场景A,Proposed,1.4491271392719127,0.023307393087687086,1.137376105413311,0.07007370321834853,0.9665574296967967,4833.333333333333
场景A,TOMHT,1.490801924314221,0.017156628169984794,1.2720592880073207,0.09127319808404137,0.9827579189760387,4915.666666666667
场景B,JPDA,1.859914370417365,0.07992192966069069,1.3561819607019883,0.11528914372080028,0.9193178272048548,6212.333333333333
场景B,Proposed,1.5679968168924496,0.018470005605410192,1.203383070349271,0.04431497717417505,0.9596444942928813,6488.666666666667
场景B,TOMHT,1.6686932644234762,0.046961378995681494,1.4600112688951956,0.10609363846276168,0.9806974505446516,6631.333333333333
场景C,JPDA,1.9667675832272193,0.03599445802565275,1.5732828520095203,0.09874621953452754,0.9059059910405396,7170.333333333333
场景C,Proposed,1.6426293332811752,0.004292255346548072,1.2490807498784686,0.02602713903194607,0.9438651030440345,7473.666666666667
场景C,TOMHT,1.786241699999885,0.02599116185257832,1.682813209437896,0.12902900835161313,0.9770493393251146,7737.0
