method,P_link,R_link,F1_link,R_wm,Frag_before,Frag_after,Frag_drop,IDSW,R_rec,Avg_fragment_length,Avg_reconstructed_track_length,FMI,RI,JC,n_segments,n_true_tracks,n_pred_clusters
仅上游片段输出,0.0,0.0,0.0,0.0,329,329,0,329,0.0,10.152912621359222,1.0,0.0,0.9892755061063473,0.0,412,83,412
CEDAS风格基线,0.9395604395604396,0.7354838709677419,0.8250904704463208,0.06043956043956044,329,87,242,87,0.7355623100303952,10.152912621359222,3.6144578313253013,0.7510952949858023,0.9952873644674367,0.5808823529411765,412,83,158
本文片段级fCEDAS,0.9528795811518325,0.7827956989247312,0.859504132231405,0.04712041884816754,329,73,256,73,0.7781155015197568,10.152912621359222,3.8674698795180724,0.8015046714920564,0.9961377648642903,0.6546990496304118,412,83,144
