tid1,tid2,label,p_I1,p_I2,p_P,pair_count,mean_dt_ms,std_dt_ms,speed_diff
31,494,I2,0.3374008462997339,0.6436045035399922,0.018994650160273786,2,105.0,75.0,7.655453914671064
52,528,I2,0.039309694859534235,0.916788169159655,0.04390213598081076,32,32.8125,22.94482171972578,4.253612021249879
70,530,I2,0.02804927653194695,0.9634728959366731,0.00847782753137992,27,112.5925925925926,192.30748127032845,4.696418035316132
70,531,I2,0.3328204436951383,0.6084488753244236,0.058730680980438266,2,665.0,75.0,1.2083485574643973
76,536,I1,0.9520769163853174,0.047733974829136466,0.00018910878554612907,16,56.875,14.882351124738323,11.624210190349709
76,540,I1,0.9117269316294504,0.0880803488413613,0.00019271952918826368,6,56.666666666666664,9.428090415820632,11.667180600279911
76,542,I1,0.7080407311706359,0.2915858549226144,0.00037341390674958645,2,90.0,0.0,11.731480606774834
76,549,I1,0.6757017651375795,0.3200226089477491,0.004275625914671508,2,20.0,10.0,9.257438116854537
78,537,I2,0.04949993857983214,0.71359627222601,0.2369037891941578,8,61.25,36.55047879303361,2.3099731734490376
78,538,I1,0.5351136529817705,0.4553876046902587,0.009498742327970882,5,546.0,170.7161386629864,1.485968870375567
78,544,I2,0.0364616917375253,0.7192749748209671,0.2442633334415076,11,70.0,70.58199615920608,1.730045159017699
81,538,I2,0.20092707192532203,0.7977463448494997,0.0013265832251784882,2,740.0,40.0,7.981967581021356
81,539,I2,0.030208399899778006,0.969562239790774,0.0002293603094479763,15,90.0,187.26095873584185,7.734594946461074
81,555,I2,0.27309887429347407,0.6023778557869726,0.12452326991955348,3,153.33333333333334,91.77266598624136,4.88008550271714
82,528,I2,0.030680185458485287,0.967814833608036,0.0015049809334787582,6,21.666666666666668,6.871842709362768,9.133664216203265
88,546,I2,0.3055328724556475,0.6920616394115375,0.0024054881328149946,2,835.0,5.0,6.079197687632554
88,550,I2,0.3651115852976154,0.6195561299919956,0.015332284710388958,2,480.0,30.0,7.093577839202322
88,557,I2,0.07232105550278174,0.7195087544395458,0.20817019005767248,3,376.6666666666667,94.6337971105226,1.7572358112436142
93,544,I1,0.502328125318003,0.4946407133957283,0.0030311612862687137,3,326.6666666666667,292.27080289043965,6.172071773096061
122,565,I2,0.1205531079460448,0.8760589919332059,0.003387900120749428,3,600.0,195.10680835549195,7.668813115705673
122,607,I2,0.04689271446724754,0.9465194677415515,0.006587817791200969,4,342.5,100.84022015049352,7.417416518977841
134,646,I2,0.08198496053631407,0.9168272649093424,0.001187774554343601,5,412.0,325.4166559965854,3.033826856972052
134,657,I2,0.06295585661374943,0.634626371754855,0.3024177716313957,26,121.92307692307692,56.56984999974884,1.4164996610772427
149,665,I2,0.0357392139059765,0.5965366288314405,0.36772415726258284,6,268.3333333333333,29.674156357941424,1.0239657638955713
149,666,I2,0.12143643083980667,0.8748498657798691,0.0037137033803242366,24,408.75,257.97791410635654,2.9716863541648078
154,667,I2,0.04483046082588234,0.8310578697671029,0.12411166940701472,28,108.92857142857143,92.20858674433609,2.7007272232818504
177,657,I2,0.03940384998185348,0.6572912776031682,0.3033048724149783,6,140.0,33.665016461206925,2.4424672253324857
184,674,I2,0.4487703062059234,0.546661045934082,0.00456864785999467,17,184.7058823529412,215.46441352299846,1.7700847023956214
184,703,I2,0.1398306325806804,0.5952903759168606,0.2648789915024589,10,146.0,99.71960689854328,1.8670868987483367
184,704,I2,0.06259574960449615,0.9296567685691173,0.007747481826386479,8,263.75,317.9598048496067,1.693666776330348
186,666,I1,0.722455683683008,0.25703415296426113,0.020510163352730735,2,600.0,50.0,5.746227741636291
196,667,I2,0.03692015521585298,0.94298663436407,0.020093210420076942,6,60.0,40.824829046386306,5.966324162116409
201,666,I1,0.8205099981795461,0.1734199253573449,0.006070076463108954,2,555.0,15.0,7.887966872071074
204,694,I2,0.31203275431522726,0.5937105238005086,0.09425672188426425,2,190.0,130.0,4.969299999999997
