method,sec,rep_lane,rep_dev,pd_true,pf_true,pd_hat,pf_hat,pd_var,pf_var,pd_ci_low,pd_ci_high,pf_ci_low,pf_ci_high
rule,63,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,64,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,65,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,66,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,67,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,68,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,69,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,70,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,71,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,72,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,73,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,74,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,75,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,76,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,77,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,78,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,79,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,80,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,81,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,82,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,83,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,84,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,85,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,86,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,87,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,88,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,89,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,90,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,91,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,92,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,93,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,94,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,95,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,96,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,97,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,98,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,99,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,100,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,101,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,102,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,103,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,104,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,105,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,106,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,107,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,108,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,109,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,110,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,111,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,112,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,113,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,114,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,115,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,116,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,117,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
