method,pd_mae_all_degraded_nodes,pd_rmse_all_degraded_nodes,pf_mae_all_degraded_nodes,pf_rmse_all_degraded_nodes,pd_mae_degrade_interval,pd_rmse_degrade_interval,pf_mae_degrade_interval,pf_rmse_degrade_interval,pd_mae_recovery_interval,pf_mae_recovery_interval,rep_pd_conv_degrade_s,rep_pd_conv_recover_s,rep_pf_conv_degrade_s,rep_pf_conv_recover_s,rep_pd_var_mean,rep_pf_var_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles,severity,seed
full,0.055327305127289186,0.07033624289024454,0.012942228431073373,0.01700458677271577,0.10619675124724269,0.10953036728692138,0.023998046564550967,0.025919050157781225,0.034594006182193764,0.008950470238003843,113.0,0.0,23.0,0,0.002073086568567262,0.00018230985447849988,-0.9991683581275371,399,408,261,255,0.3,11
rule,0.06239999999999999,0.06946653870749575,0.023100000000000006,0.028224103174414598,0.1040000000000001,0.10400000000000009,0.0009999999999999937,0.000999999999999994,0.039999999999999925,0.035,,0.0,0.0,0,0.0,0.0,,421,429,301,262,0.3,22
global,0.05988469189792598,0.08523092934841656,0.017396772260206764,0.022786910985334904,0.13900105276782362,0.1404233844077554,0.03399741892477667,0.03568327330212859,0.015970261408094846,0.008362139821909599,,0.0,59.0,0,0.0009130707999529389,0.00022954821633198587,-0.9991830822077987,420,428,296,262,0.3,22
full,0.05858243603852658,0.0746278515390077,0.013777845416954775,0.017043752807052802,0.11572721246154052,0.11869350873296354,0.023208015053524357,0.024503250844404436,0.033853483961169856,0.010007013432246286,,0.0,0.0,0,0.0010775273951107397,0.00020814423875386185,-0.999309227068755,418,427,289,262,0.3,22
rule,0.07919999999999996,0.09553219352658035,0.02730000000000001,0.029247222090311418,0.15200000000000002,0.15200000000000002,0.012999999999999996,0.012999999999999996,0.039999999999999925,0.035,,0.0,0.0,0,0.0,0.0,,411,419,287,255,0.4,11
global,0.07445109962337511,0.10980305599746082,0.021675931143559264,0.029587959198460363,0.18180517820855197,0.1832844648311384,0.04703947370028521,0.04807693867066939,0.015255161690945271,0.008249080452286726,,0.0,,0,0.0009215663273780361,0.000215466177230049,-0.9989952601314478,399,408,274,255,0.4,11
full,0.07113341590585678,0.0892004871982414,0.017603593460342355,0.0227366902855512,0.12790895687157894,0.13475028673576114,0.03276681895228045,0.034415067797568845,0.05804211706805062,0.01333329476970324,,49.0,7.0,17,0.002216621719392112,0.00022908488113386943,-0.9983767070048545,384,393,262,255,0.4,11
rule,0.07919999999999996,0.09553219352658035,0.02730000000000001,0.029247222090311418,0.15200000000000002,0.15200000000000002,0.012999999999999996,0.012999999999999996,0.039999999999999925,0.035,,0.0,0.0,0,0.0,0.0,,417,424,311,262,0.4,22
global,0.07657739732044959,0.11182406226820203,0.021163966683992515,0.028562689129765142,0.1845588525967603,0.18601992614843796,0.04483256330273729,0.04611655132348637,0.018105905643511288,0.008271018955220684,,0.0,,0,0.0009163958729993786,0.00023268306319159383,-0.9990872044360368,406,412,300,262,0.4,22
full,0.0715783930027027,0.09271577093164228,0.016231199403217968,0.020253784469389823,0.14152615907890065,0.14609615629831002,0.027584438751347237,0.029410004984520965,0.045185842955741504,0.012747266933248718,,0.0,5.0,0,0.001291161413259882,0.0002110301756652976,-0.99846193903832,394,402,289,262,0.4,22
