method,pd_mae_all_degraded_nodes,pd_rmse_all_degraded_nodes,pf_mae_all_degraded_nodes,pf_rmse_all_degraded_nodes,pd_mae_degrade_interval,pd_rmse_degrade_interval,pf_mae_degrade_interval,pf_rmse_degrade_interval,pd_mae_recovery_interval,pf_mae_recovery_interval,rep_pd_conv_degrade_s,rep_pd_conv_recover_s,rep_pf_conv_degrade_s,rep_pf_conv_recover_s,rep_pd_var_mean,rep_pf_var_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles
rule,0.1296,0.17806066381994654,0.0399,0.04045491317503969,0.2960000000000001,0.29600000000000004,0.04899999999999999,0.04899999999999999,0.039999999999999925,0.035,,0,,0,0.0,0.0,,359,361,273,250
global,0.1239353958983286,0.19325333560424726,0.03366165225503768,0.0494922133005125,0.32482693886363073,0.32554024841596835,0.08189103494836689,0.08256720690063604,0.015718132812841883,0.0083308844911791,,0,,0,0.0009666005700724404,0.00022494020905492018,-0.9993437288279585,352,354,266,250
full,0.12626623783143204,0.1628613421847316,0.028453113407944885,0.03751987687477461,0.25462035090605906,0.2585841849415682,0.05380702387202798,0.05733989007414283,0.08551449224911231,0.022111562050634814,,20,119.0,0,0.002382348377636137,0.00028999991982311816,-0.99617912979458,350,352,263,250
